text,true_emotion,predicted_emotion
@__NETFLIXNCHILL I fuck with madden way harder,anger,joy
Hate when guys cant control their anger 🙃🙃,anger,anger
@pbhushan1 @IndianExpress so in your opinion is this the worst delhi govt? #acrid  #hypocrisy,anger,anger
"Why to have vanity sizes?Now sizes S,XS(evenXXS sometimes) are too big, WTF?! Dear corporate jerks, Lithuania didn't need this. #rant ",anger,anger
If I spend even 5 minutes with you and you already irritate me I seriously will bitch you out until you shut up,anger,anger
"Ananya just grabbed a bible, opened it, started reading, and then said 'where do they talk about burning people?'",anger,fear
@ArcticFantasy I would have almost took offense to this if I actually snapped you,anger,anger
"I miss my gran singing Rawhide, in her deep baritone growl.",anger,sadness
@DailyMirror i love how theres no outrage that it's a white man but if it was a black man them BLM would be all over it regardless of reason,anger,anger
Lol little things like that make me so angry x,anger,anger
@LeonWobYP b***er off. NCFC is a grudge match :),anger,anger
"Is it me, or is Ding wearing the look of a man who's just found his arch enemy in bed with his missus? #angryman #scowl",anger,anger
Sting is just too damn earnest for early morning listening. ,anger,anger
"Anger, resentment, and hatred are the destroyer of your fortune today.'",anger,anger
"@FluDino Event started! everyone is getting ready to travel to the lake of rage, where everything glows",anger,joy
My eyes have been dilated. I hate the world right now with the rage of a thousand fiery dragons. I need a drink.,anger,anger
"@huwellwell One chosen by the CLP members! MP seats are not for people to dole out to their mates, we elect candidates. ",anger,anger
@LiamCannon1 He's just too raging to type properly... Ha ha!,anger,anger
@fluffysoftlouis no no. I insist that you give me your best insult first,anger,anger
I wouldn't have #anger issues.....if she didn't have #lying issues.....think about that one. #pow #lies #confusion,anger,anger
@CNNPolitics I can't wait to hear what he had to say about the brilliant Dr. Hawking... it should be rich... In the poorest of taste! ,fear,anger
@hollywooddivas @TMZ_Sports Idiots like Larry Sanders scare us All!How can Morons these days Rush 2 Judge #Police w/o all facts yet?FU thugs,fear,anger
Whatt a trailerrrr !!! @karanjohar @AnushkaSharma #RanbirKapoor #AishwaryaRaiBachchan i am COMPLETELY BLOWN !! #awestruck #longingformore,fear,joy
Bout ta get my @dontbreathe on up in here! @WarrenTheaters #nervous #icantholdmybreaththatlong,fear,fear
"Really.....#Jumanji 2....w/ The Rock, Jack Black, and Kevin Hart...are you kidding me! WTF! #ThisIsATerribleIdea ",fear,anger
Okay. Brace yourself. I will attempt my first loaf of bread in the morning. I will use a dutch oven. I will make the dough now. ,fear,fear
Another fun fact: i am afraid,fear,fear
Nothing worse than an uber driver that can't drive. #awful,fear,anger
Why upping rooms makes a few apprehend leaving out charcoal ownership: UnZU,fear,fear
And I cried in front of my guy last night. And it's just been a horrible week but it's only for a week,fear,sadness
Watching It Follows.  This is a super freaky movie.  #scary,fear,fear
So about 18mths ago i signed up to @Lumo_Energy for their @VirginAustralia / Velocity FF deal. 18 months in still no FF points ,fear,anger
It really is amazing the money they give to some of these QB's #nfl #texans #brock ,fear,joy
@ChrissyCostanza and have social anxiety. There is many awkward things wrong with me. 😄,fear,fear
The Apocalypse has hit our gym and it's  nothing what I thought it would be...\n\nEveryone is wearing vests! What if it's contagious? #afraid,fear,fear
